identifier,smiles,bus
COZDAZ,Nc1ccccn1,[1]
COZDED,Nc1ccccn1,[1]
CUBVAX,NCCNCCNCCN,[3]
CUGGOC,N=C(N)N,[1]
CUHCIR,CCNCC,"[1, 1]"
CUHQIG,CNC,[5]
CUJFEU,c1ncn(CCCCCCn2cncn2)n1,[1]
CUJYAJ,Nc1cccnc1,[]
CUMCES,N=C(N)N,[8]
CUMCIW,N=C(N)N,[8]
CUMCOC,N=C(N)N,[8]
CUMCUI,N=C(N)N,[8]
CUMDAP,N=C(N)N,[8]
CUMNEG,Nc1ccccn1,[1]
CUNQEJ,NCCCCN,"[4, 1]"
CUNQIN,NCCCCN,"[4, 1]"
CUNQOT,NCCCCN,"[4, 1]"
CUNQUZ,NCCCCN,"[4, 1]"
CUNRAG,NCCCCN,"[4, 1]"
CUNXIS,C1CCNC1,[1]
CUPBEW,NCCCCN,"[4, 1]"
CURPIQ,CN(C)c1ccncc1,[4]
CUTGEE,C1CN2CCN1CC2,[0]
CUTGII,C1CN2CCN1CC2,[0]
CUWTEV,NCCCCN,[4]
CUWTIZ,NCCCCN,[4]
CUXDUU,CC(C)N,[1]
DABKIA,CN,[4]
DABZUE,CN(C)c1ccncc1,[4]
DADTOS,CNC,[7]
DADTUY,CNC,[7]
DADVAG,CNC,[7]
DADXEO,c1ccncc1,[2]
DAGBIZ,NCc1cccc(CN)c1,[]
DAGBUL,c1cc(-c2ccncc2)ccn1,[]
DAHNAC,c1cc(-c2ccncc2)ccn1,[]
DAHNOQ,N=C(N)N,[4]
DAHYUH,c1c[nH]cn1,[]
DAHZOC,CN(C)Cc1ccccc1,[5]
DAKNOT,NCC1CCNCC1,[]
DALROA,CN,[4]
DALRUG,CN,[4]
DALSAN,CN,[4]
DALSER,CN,[4]
DAMYEW,c1cnc2c(c1)ccc1cccnc12,[10]
DAQNUE,c1ccncc1,[11]
DAQVOH,CC(C)(C)c1cc(C(C)(C)C)[nH]n1,[]
DARJOX,CCNCC,[1]
DARJUD,CCNCC,[1]
DATTEY,Nc1ccc(N)cc1,[]
DATTIC,Nc1ccccc1N,[]
DATTOI,Nc1cccc(N)c1,[]
DAVWUT,NCCN(CCN)CCN,[1]
DAXNIA,CNC,[7]
DAYGES,CCCCCCCCN,[]
DAYGIW,CCCCCCCCN,[]
DAYKOE,NCCN,[2]
DCHXMO,C1CCC(NC2CCCCC2)CC1,[]
DEBQOT,CNC,[0]
DECDUN,C(CC1CCNCC1)CC1CCNCC1,[4]
DECGAW,NCCCNCCCN,[4]
DECXUF,NCCN,[1]
DEDNIK,NCc1ccccc1,[0]
DEDPOT,CC(C)N,[]
DEDPUZ,CC(C)N,[]
DEFPIO,Nc1ccccn1,[]
DEFPOU,Nc1ccccn1,[1]
DEFPUA,Nc1ccccn1,[1]
DEJBAY,c1ccc2[nH]cnc2c1,[1]
DEJBIG,c1ccc2[nH]cnc2c1,[5]
DEJHOS,NCCNCCN,[1]
DEJRIW,Nc1cnccn1,[]
DEKHAE,CC(C)N,[]
DELNEO,NCCNCCNCCN,[4]
DELNIS,Cc1cccc(N)c1C,[1]
DELSIX,Nc1ccncc1,[]
DELYOJ,NCCCCN,[]
DEPJIR01,N=CN,[7]
