,encoded_mdes
718,mdes_BIC0
719,mdes_BIC1
720,mdes_BIC2
721,mdes_BIC3
722,mdes_BIC4
723,mdes_BIC5
724,mdes_CIC0
725,mdes_CIC1
726,mdes_CIC2
727,mdes_CIC3
728,mdes_CIC4
729,mdes_CIC5
730,mdes_MIC0
731,mdes_MIC1
732,mdes_MIC2
733,mdes_MIC3
734,mdes_MIC4
735,mdes_MIC5
736,mdes_ZMIC0
737,mdes_ZMIC1
738,mdes_ZMIC2
739,mdes_ZMIC3
740,mdes_ZMIC4
741,mdes_ZMIC5
742,mdes_Kier1
743,mdes_FilterItLogS
744,mdes_VMcGowan
745,mdes_LabuteASA
746,mdes_PEOE_VSA1
747,mdes_PEOE_VSA2
748,mdes_PEOE_VSA3
749,mdes_PEOE_VSA4
750,mdes_PEOE_VSA5
751,mdes_PEOE_VSA6
752,mdes_PEOE_VSA7
753,mdes_PEOE_VSA8
754,mdes_PEOE_VSA9
755,mdes_PEOE_VSA10
756,mdes_PEOE_VSA11
757,mdes_PEOE_VSA12
758,mdes_PEOE_VSA13
759,mdes_SMR_VSA2
760,mdes_SMR_VSA3
761,mdes_SMR_VSA4
762,mdes_SMR_VSA5
763,mdes_SMR_VSA6
764,mdes_SMR_VSA7
765,mdes_SMR_VSA9
766,mdes_SlogP_VSA1
767,mdes_SlogP_VSA2
768,mdes_SlogP_VSA3
769,mdes_SlogP_VSA4
770,mdes_SlogP_VSA5
771,mdes_SlogP_VSA6
772,mdes_SlogP_VSA8
773,mdes_SlogP_VSA10
774,mdes_EState_VSA1
775,mdes_EState_VSA2
776,mdes_EState_VSA3
777,mdes_EState_VSA4
778,mdes_EState_VSA5
779,mdes_EState_VSA6
780,mdes_EState_VSA7
781,mdes_EState_VSA8
782,mdes_EState_VSA9
783,mdes_VSA_EState1
784,mdes_VSA_EState2
785,mdes_VSA_EState3
786,mdes_VSA_EState4
787,mdes_VSA_EState5
788,mdes_VSA_EState6
789,mdes_VSA_EState7
790,mdes_VSA_EState8
791,mdes_VSA_EState9
792,mdes_MID
793,mdes_AMID
794,mdes_MID_h
795,mdes_AMID_h
796,mdes_MID_C
797,mdes_AMID_C
798,mdes_MID_N
799,mdes_AMID_N
800,mdes_MPC2
801,mdes_MPC3
802,mdes_MPC4
803,mdes_MPC5
804,mdes_MPC6
805,mdes_MPC7
806,mdes_MPC8
807,mdes_MPC9
808,mdes_MPC10
809,mdes_TMPC10
810,mdes_piPC1
811,mdes_piPC2
812,mdes_piPC3
813,mdes_piPC4
814,mdes_piPC5
815,mdes_piPC6
816,mdes_piPC7
817,mdes_piPC8
818,mdes_piPC9
819,mdes_piPC10
820,mdes_TpiPC10
821,mdes_apol
822,mdes_bpol
823,mdes_nRing
824,mdes_n3Ring
825,mdes_n4Ring
826,mdes_n5Ring
827,mdes_n6Ring
828,mdes_n7Ring
829,mdes_n8Ring
830,mdes_n12Ring
831,mdes_nG12Ring
832,mdes_nHRing
833,mdes_n4HRing
834,mdes_n5HRing
835,mdes_n6HRing
836,mdes_n7HRing
837,mdes_n8HRing
838,mdes_n12HRing
839,mdes_nG12HRing
840,mdes_naRing
841,mdes_n5aRing
842,mdes_n6aRing
843,mdes_nG12aRing
844,mdes_naHRing
845,mdes_n5aHRing
846,mdes_n6aHRing
847,mdes_nG12aHRing
848,mdes_nARing
849,mdes_n3ARing
850,mdes_n4ARing
851,mdes_n5ARing
852,mdes_n6ARing
853,mdes_n7ARing
854,mdes_n8ARing
855,mdes_n12ARing
856,mdes_nG12ARing
857,mdes_nAHRing
858,mdes_n4AHRing
859,mdes_n5AHRing
860,mdes_n6AHRing
861,mdes_n7AHRing
862,mdes_n8AHRing
863,mdes_n12AHRing
864,mdes_nG12AHRing
865,mdes_nFRing
866,mdes_n7FRing
867,mdes_n8FRing
868,mdes_n9FRing
869,mdes_n10FRing
870,mdes_n11FRing
871,mdes_nG12FRing
872,mdes_nFHRing
873,mdes_n7FHRing
874,mdes_n8FHRing
875,mdes_n9FHRing
876,mdes_n10FHRing
877,mdes_n11FHRing
878,mdes_nG12FHRing
879,mdes_nFaRing
880,mdes_n9FaRing
881,mdes_n10FaRing
882,mdes_nG12FaRing
883,mdes_nFaHRing
884,mdes_n9FaHRing
885,mdes_n10FaHRing
886,mdes_nG12FaHRing
887,mdes_nFARing
888,mdes_n7FARing
889,mdes_n8FARing
890,mdes_n9FARing
891,mdes_n10FARing
892,mdes_n11FARing
893,mdes_nG12FARing
894,mdes_nFAHRing
895,mdes_n7FAHRing
896,mdes_n8FAHRing
897,mdes_n9FAHRing
898,mdes_n10FAHRing
899,mdes_n11FAHRing
900,mdes_nG12FAHRing
901,mdes_nRot
902,mdes_RotRatio
903,mdes_SLogP
904,mdes_SMR
905,mdes_TopoPSA(NO)
906,mdes_TopoPSA
